"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"Deco Pro","GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q360 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released 2011, Q3","Mini-SIM","","2011, July","108.5 x 64 x 12.5 mm (4.27 x 2.52 x 0.49 in)","75 g (2.65 oz)","320 x 240 pixels (~154 ppi pixel density)","","TFT capacitive touchscreen, 256K colors","2.6 inches (~30.1% screen-to-body ratio)","","","","","1 GB ROM, 256 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","3.2 MP","","Yes","Yes","Vibration, MP3 ringtones","Yes","microUSB","","2.1, A2DP","FM radio","No","SMS, MMS, Push Email","","Yes","WAP 2.0/xHTML","Up to 250 h","Removable Li-Ion 1200 mAh battery","","<a href=""#"">2/10</a>","Black, White","","","","","","Yes","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","108.5","12.5","64","75","2.65","","32","320","240","154","3","2.6","30.1"
"Deco XT","GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q290 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released 2011, Q3","Mini-SIM","","2011, July","103 x 57.6 x 12.5 mm (4.06 x 2.27 x 0.49 in)","75 g (2.65 oz)","320 x 240 pixels (~173 ppi pixel density)","","TFT, 256K colors","2.31 inches (~27.9% screen-to-body ratio)","","","","","1 GB ROM, 256 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","2 MP","","Yes","Yes","Vibration, MP3 ringtones","Yes","microUSB","","2.1, A2DP","FM radio","No","SMS, MMS, Push Email","","Yes","WAP 2.0/xHTML","Up to 200 h","Removable Li-Ion 800 mAh battery","","<a href=""#"">2/10</a>","Black, White","","","","","","Yes","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","103","12.5","57.6","75","2.65","","8","320","240","173","2","2.31","27.9"
"Deejay","GSM 850 / 900 / 1800 / 1900 - SIM 2  (T210 only)","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Class 10","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, September. Released 2010, September","103 x 44 x 15 mm (4.06 x 1.73 x 0.59 in)","83 g (2.93 oz)","128 x 160 pixels (~116 ppi pixel density)","","TFT, 65K colors","1.77 inches (~21.8% screen-to-body ratio)","","","","","","microSD, up to 2 GB (dedicated slot)","","","","","Yes","No","Vibration, MP3 ringtones","No","miniUSB (charging only)","","No","Stereo FM radio","No","SMS, MMS","","No","WAP 2.0/xHTML","Up to 580 h","Removable Li-Ion 800 mAh battery","","<a href=""#"">1/10</a>","Grey, Green, Purple, Pink, Blue","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","103","15","44","83","2.93","","2","128","160","116","","1.77","21.8"
"Deejay Flip","GSM 850 / 900 / 1800 / 1900 - SIM 2  (F110 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released 2011, Q3","Mini-SIM","","2011, July","92 x 44.5 x 18 mm (3.62 x 1.75 x 0.71 in)","70 g (2.47 oz)","176 x 220 pixels (~141 ppi pixel density)","","TFT, 256K colors","2.0 inches (~30.7% screen-to-body ratio)","","","","","64 MB ROM, 32 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","1.3 MP","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","2.1, A2DP","Stereo FM radio","No","SMS, MMS, IM","","No","WAP 2.0/xHTML","Up to 600 h","Removable Li-Ion 700 mAh battery","","","Blue, Red, Purple, Green, Yellow","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","92","18","44.5","70","2.47","","8","176","220","141","1","2.0","30.7"
"Deejay II","GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q160 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released 2011, April","Dual SIM (Mini-SIM)","","2011, February","105 x 58 x 14 mm (4.13 x 2.28 x 0.55 in)","120 g (4.23 oz)","","","TFT, 256K colors","1.8 inches","","","","","64 MB + 32 MB","microSD, up to 4 GB (dedicated slot)","No","Yes","VGA","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB 2.0","","2.1, A2DP","Stereo FM radio","No","SMS, MMS","","No","WAP 2.0/xHTML (Opera Mini)","Up to 600 h","Removable Li-Ion 800 mAh battery","","<a href=""#"">1/10</a>","Red, Silver, Green, Yellow, Blue, Pink, Purple","","","","","","Yes","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","105","14","58","120","4.23","","4","","","","","",""
"Deejay Touch","GSM 850 / 900 / 1800 / 1900 - SIM 2  (S210 only)","GSM 850 / 900 / 1800 / 1900","","","Class 12","GSM","Available. Released 2011, Q3","Mini-SIM","","2011, July","96 x 56.2 x 13.5 mm (3.78 x 2.21 x 0.53 in)","70 g (2.47 oz)","240 x 320 pixels (~154 ppi pixel density)","","TFT resistive touchscreen, 65K colors","2.6 inches (~38.8% screen-to-body ratio)","","","","","256 MB ROM, 64 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","1.3 MP","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","2.1, A2DP","Stereo FM radio","No","SMS, MMS, Email, Push Email, IM","","Yes","WAP 2.0/xHTML","Up to 72 h","Removable Li-Ion 750 mAh battery","","<a href=""#"">1/10</a>","Black, Pink, Light blue, Purple, Violet, Silver","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","96","13.5","56.2","70","2.47","","8","240","320","154","1","2.6","38.8"
"Diesel 3G","Class 10","GSM 850 / 900 / 1800 / 1900","Yes, 384 kbps","UMTS 850 / 2100","Class 10","GSM / UMTS","Available. Released 2011, Q2","Mini-SIM","","2011, February","107.5 x 45 x 13.3 mm (4.23 x 1.77 x 0.52 in)","90 g (3.17 oz)","","","TFT, 65K colors","1.8 inches","","","","","64 MB","microSD, up to 16 GB (dedicated slot)","No","Yes","VGA","","Yes","No","Vibration, MP3 ringtones","No","miniUSB 2.0","","2.1, A2DP","Stereo FM radio, RDS","No","SMS, EMS, MMS, Email","","Yes, MIDP 2.1","WAP 2.0/xHTML, HTML","Up to 350 h (2G) / Up to 300 h (3G)","Removable Li-Ion 1000 mAh battery","","<a href=""#"">2/10</a>","Black","","","","","","500 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","107.5","13.3","45","90","3.17","","16","","","","","",""
"Disco2GO II","GSM 850 / 900 / 1800 / 1900 - SIM 2","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Yes","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, September. Released 2010, Q4","111 x 58 x 14 mm (4.37 x 2.28 x 0.55 in)","102 g (3.60 oz)","240 x 320 pixels (~200 ppi pixel density)","","TFT, 256K colors","2.0 inches (~19.2% screen-to-body ratio)","","","","","32 MB","microSD, up to 8 GB (dedicated slot)","No","Yes","VGA","","Yes","Yes","Vibration, MP3 ringtones","No","Yes","","2.0, A2DP","Stereo FM radio","No","SMS, MMS","","Yes, MIDP 2.0","WAP 2.0/xHTML (Opera Mini)","Up to 550 h","Removable Li-Ion 850 mAh battery","","<a href=""#"">2/10</a>","Red, Green, Grey, Yellow","","","","","","500 entries","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","111","14","58","102","3.60","","8","240","320","200","","2.0","19.2"
"Diva","GSM 850 / 900 / 1800 / 1900 - SIM 2 (T272T only)","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Class 12","GSM","Available. Released 2013, April","Dual SIM (Mini-SIM)","","2013, April","119 x 51 x 14 mm (4.69 x 2.01 x 0.55 in)","90 g (3.17 oz)","240 x 320 pixels (~167 ppi pixel density)","","TFT, 256K colors","2.4 inches (~29.4% screen-to-body ratio)","","","","","32 MB ROM, 32 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","VGA","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","3.0","FM radio; built-in antenna","No","SMS","","No","No","Up to 600 h","Removable Li-Ion 820 mAh battery","","<a href=""#"">1/10</a>","Black, Blue, Pink, Silver, White","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","119","14","51","90","3.17","","32","240","320","167","","2.4","29.4"
"Diva X","GSM 850 / 900 / 1800 / 1900 - SIM 2 (T372T only)","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Class 12","GSM","Available. Released 2013, May","Dual SIM (Mini-SIM)","","2013, April","127 x 55 x 13.5 mm (5.0 x 2.17 x 0.53 in)","95 g (3.35 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT, 256K colors","2.8 inches (~34.8% screen-to-body ratio)","","","","","64 MB ROM, 64 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","1.3 MP, LED flash","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","3.0","FM radio; built-in antenna","No","SMS, MMS, IM","","No","WAP 2.0/xHTML","Up to 1600 h","Removable Li-Ion 1400 mAh battery","","<a href=""#"">1/10</a>","Black, Blue, Pink, Silver, White","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","127","13.5","55","95","3.35","","32","240","320","143","1","2.8","34.8"
"Dual SIM Lite","GSM 850 / 1900 - SIM 2","GSM 850 / 1900 - SIM 1","","","No","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, January. Released 2010, January","98 x 41 x 12.5 mm (3.86 x 1.61 x 0.49 in)","83 g (2.93 oz)","128 x 160 pixels (~116 ppi pixel density)","","TFT, 65K colors","1.77 inches (~24.5% screen-to-body ratio)","","","","","","microSD, up to 2 GB (dedicated slot)","","","","","Yes","No","Vibration, MP3 ringtones","No","miniUSB (charging only)","","No","Stereo FM radio","No","SMS, MMS","","No","No","Up to 580 h","Removable Li-Ion 800 mAh battery","","","Grey, Green, Purple, Pink, Blue","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","98","12.5","41","83","2.93","","2","128","160","116","","1.77","24.5"
"Electro","GSM 850 / 900 / 1800 / 1900 - SIM 2  (T610 only)","GSM 850 / 900 / 1800 / 1900","","","Class 12","GSM","Available. Released 2011, Q3","Mini-SIM","","2011, July","104 x 53 x 13.5 mm (4.09 x 2.09 x 0.53 in)","68 g (2.40 oz)","240 x 320 pixels (~182 ppi pixel density)","","TFT, 256K colors","2.2 inches (~27.2% screen-to-body ratio)","","","","","128 MB ROM, 64 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","1.3 MP","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","2.1, A2DP","FM radio","No","SMS, MMS, IM","","Yes","WAP 2.0/xHTML","Up to 288 h","Removable Li-Ion 1050 mAh battery","","<a href=""#"">1/10</a>","Orange, Pink, Violet, Cyan","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","104","13.5","53","68","2.40","","8","240","320","182","1","2.2","27.2"
"Elite 3.8","HSPA 7.2/5.76 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 2100 - D430b","HSDPA 850 / 1900 - D430a","Class 12","GSM / HSPA","Discontinued","Dual SIM (Mini-SIM, dual stand-by)","","2012, July. Released 2012, August","120 x 60 x 11.3 mm (4.72 x 2.36 x 0.44 in)","137 g (4.83 oz)","480 x 800 pixels (~246 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","3.8 inches (~57.1% screen-to-body ratio)","Qualcomm MSM7227A Snapdragon S1","Android 2.3 (Gingerbread), planned upgrade to 4.0 (Ice Cream Sandwich)","1.0 GHz Cortex-A5","Adreno 200","1 GB, 512 MB RAM","microSD, up to 32 GB (dedicated slot)","VGA","480p@30fps","5 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","3.0, A2DP","Stereo FM radio, RDS","Yes, with A-GPS","SMS, MMS, Email, Push Email","Accelerometer, gyro, proximity, compass","Yes, via Java MIDP emulator","HTML, Adobe Flash","Up to 550 h (2G) / Up to 500 h (3G)","Removable Li-Ion 1600 mAh battery","","<a href=""#"">3/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","","","30","480","120","11.3","60","137","4.83","","32","480","800","246","5","3.8","57.1"
"EZ2Go","GSM 850 / 900 / 1800 / 1900 - SIM 2","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Yes","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, June. Released 2010, June","120 x 56 x 14.6 mm (4.72 x 2.20 x 0.57 in)","120 g (4.23 oz)","","","TFT, 65K colors","2.0 inches","","","","","16 MB","microSD, up to 2 GB (dedicated slot)","No","No","VGA","","Yes","No","Vibration, MP3 ringtones","No","Yes","","No","FM radio","No","SMS, MMS","","No","WAP 2.0/xHTML","Up to 450 h","Removable Li-Ion 750 mAh battery","","","Black, Gray, Silver","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","120","14.6","56","120","4.23","","2","","","","","",""
"Flash","Class 10","GSM 850 / 900 / 1800 / 1900","Yes, 384 kbps","UMTS 850 / 2100","Class 10","GSM / UMTS","Discontinued","Mini-SIM","","2010, September. Released 2010, September","109 x 46 x 13.5 mm (4.29 x 1.81 x 0.53 in)","82 g (2.89 oz)","240 x 320 pixels (~200 ppi pixel density)","","TFT, 256K colors","2.0 inches (~24.7% screen-to-body ratio)","","","","","70 MB","microSD, up to 8 GB (dedicated slot)","Yes","320p@15fps","VGA","","Yes","Yes","Vibration, MP3 ringtones","No","Yes","","2.0, A2DP","Stereo FM radio","No","SMS, MMS, Email, IM","","Yes","WAP 2.0/xHTML","Up to 600 h (2G) / Up to 583 h (3G)","Removable Li-Ion 800 mAh battery","","<a href=""#"">1/10</a>","Black","","","","","","1000 entries","Yes","Downloadable","","","","","","","","","","BLU","","","15","320","109","13.5","46","82","2.89","","8","240","320","200","","2.0","24.7"
"Gol","GSM 850 / 900 / 1800 / 1900 - SIM 2","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Yes","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, June. Released 2010, June","102 x 45 x 12.8 mm (4.02 x 1.77 x 0.50 in)","92 g (3.25 oz)","","","TFT, 65K colors","1.8 inches","","","","","16 MB","microSD, up to 2 GB (dedicated slot)","No","No","CIF","","Yes","No","Vibration, MP3 ringtones","No","Yes","","1.2","FM radio","No","SMS, MMS","","No","WAP 2.0","Up to 450 h","Removable Li-Ion 750 mAh battery","","","Black, Blue, Red, Silver","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","102","12.8","45","92","3.25","","2","","","","","",""
"Hero","GSM 850 / 900 / 1800 / 1900 - SIM 2  (S190 only)","GSM 850 / 900 / 1800 / 1900","","","Class 12","GSM","Available. Released 2011, December","Dual SIM (Mini-SIM)","","2011, November","104 x 57 x 13 mm (4.09 x 2.24 x 0.51 in)","90 g (3.17 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT resistive touchscreen, 256K colors","2.8 inches (~41.0% screen-to-body ratio)","","","","","64 MB ROM, 32 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","1.3 MP","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","2.1, EDR","Stereo FM radio","No","SMS, MMS, IM","","No","WAP 2.0/xHTML","Up to 600 h","Removable Li-Ion 950 mAh battery","","<a href=""#"">1/10</a>","Black, Blue, Pink, Brown, White, Green","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","104","13","57","90","3.17","","8","240","320","143","1","2.8","41.0"
"Hero II","Class 12","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","","","Class 12","GSM","Available. Released 2013, January","Dual SIM (Mini-SIM)","","2012, December","114 x 60 x 11.6 mm (4.49 x 2.36 x 0.46 in)","90 g (3.17 oz)","320 x 480 pixels (~165 ppi pixel density)","Yes","TFT capacitive touchscreen, 256K colors","3.5 inches (~53.3% screen-to-body ratio)","","","","","128 MB ROM, 64 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","1.3 MP","","Yes","Yes","Vibration, MP3 ringtones","Wi-Fi 802.11 b/g","microUSB 2.0","","3.0, A2DP","Stereo FM radio","No","SMS, MMS, IM","","Yes","WAP 2.0/xHTML","Up to 600 h","Removable Li-Ion 1100 mAh battery","","<a href=""#"">2/10</a>","Blue, Pink, Silver, Dark grey","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","114","11.6","60","90","3.17","","32","320","480","165","1","3.5","53.3"
"Jenny","GSM 850 / 900 / 1800 / 1900 - SIM 2 (T172 only)","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","No  (Planned GPRS version for Q4 2012)","GSM","Available. Released 2012, June","Dual SIM (Mini-SIM)","","2012, June","110 x 45 x 14 mm (4.33 x 1.77 x 0.55 in)","73 g (2.57 oz)","128 x 160 pixels (~114 ppi pixel density)","","TFT, 65K colors","1.8 inches (~20.6% screen-to-body ratio)","","","","","16 MB ROM, 32 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","VGA","","Yes","No","Vibration, MP3 ringtones","No","miniUSB","","2.1","Stereo FM radio","No","SMS","","No","No","Up to 860 h","Removable Li-Ion 900 mAh battery","","<a href=""#"">1/10</a>","White, Black, Red, Yellow, Blue","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","110","14","45","73","2.57","","8","128","160","114","","1.8","20.6"
"Jenny TV 2.8","GSM 850 / 900 / 1800 / 1900 - SIM 2 (T176T only)","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Class 12","GSM","Available. Released 2013, September","Dual SIM (Mini-SIM)","","2013, August","128 x 55.7 x 12.5 mm (5.04 x 2.19 x 0.49 in)","90 g (3.17 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT, 65K colors","2.8 inches (~34.1% screen-to-body ratio)","","","","","32 MB ROM, 24 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","1.3 MP","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","3.0","FM radio","No","SMS","","No","No","Up to 600 h","Removable Li-Ion 820 mAh battery","","<a href=""#"">1/10</a>","Blue, Red, Yellow, White/Pink, Whtie/Blue, White/Green","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","128","12.5","55.7","90","3.17","","32","240","320","143","1","2.8","34.1"
"Jenny TV","GSM 850 / 900 / 1800 / 1900 - SIM 2 (T172T only)","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Class 12","GSM","Available. Released 2012, August","Dual SIM (Mini-SIM)","","2012, June","119 x 49 x 14 mm (4.69 x 1.93 x 0.55 in)","88 g (3.10 oz)","240 x 320 pixels (~167 ppi pixel density)","","TFT, 256K colors","2.4 inches (~30.6% screen-to-body ratio)","","","","","32 MB ROM, 32 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","VGA","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","2.1","FM radio; built-in antenna","No","SMS, MMS","","No","No","Up to 600 h","Removable Li-Ion 820 mAh battery","","<a href=""#"">1/10</a>","White, Black, Red, Yellow, Blue","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","119","14","49","88","3.10","","8","240","320","167","","2.4","30.6"
"Kick","GSM 850 / 900 / 1800 / 1900 - SIM 2","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Yes","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, June. Released 2010, June","102 x 45 x 12.8 mm (4.02 x 1.77 x 0.50 in)","92 g (3.25 oz)","","","TFT, 65K colors","1.8 inches","","","","","16 MB","microSD, up to 2 GB (dedicated slot)","No","No","CIF","","Yes","No","Vibration, MP3 ringtones","No","Yes","","1.2","FM radio","No","SMS, MMS","","No","WAP 2.0/xHTML","Up to 450 h","Removable Li-Ion 750 mAh battery","","","Silver, Red, Yellow, Blue, Green, Purple, Pink","","","","","","200 entries","Yes","Downloadable","","","","","","","","","","BLU","","","","","102","12.8","45","92","3.25","","2","","","","","",""
"Life 8","HSPA 21.1/5.76 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 2100 - L280i","HSDPA 850 / 1900 - L280a","Class 12","GSM / HSPA","Available. Released 2014, May","Dual SIM","","2014, May","145 x 69.8 x 7.5 mm (5.71 x 2.75 x 0.30 in)","136 g (4.80 oz)","720 x 1280 pixels (~294 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~68.1% screen-to-body ratio)","Mediatek MT6592","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)","Octa-core 1.7 GHz Cortex-A7","Mali-450MP4","8 GB, 1 GB RAM","microSD, up to 32 GB","2 MP","1080p@30fps","8 MP, LED flash","Geo-tagging, face detection, HDR, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity","No","HTML","Up to 900 h (2G) / Up to 750 h (3G)","Removable Li-Ion 2000 mAh battery","","<a href=""#"">3/10</a>","White, Yellow, Pink, Orange","","","","","","","","","","","","","","","","","","BLU","","","30","1080","145","7.5","69.8","136","4.80","2","32","720","1280","294","8","5.0","68.1"
"Life One","Class 12","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 42.2/5.76 Mbps","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Dual SIM (Mini-SIM, dual stand-by)","","2013, March. Released 2013, April","144 x 73 x 8.9 mm (5.67 x 2.87 x 0.35 in)","145 g (5.11 oz)","720 x 1280 pixels (~294 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~65.6% screen-to-body ratio)","Mediatek MT6589","Android 4.2 (Jelly Bean)","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","5 MP","1080p@30fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 850 h (2G) / Up to 760 h (3G)","Non-removable Li-Ion 2000 mAh battery","","<a href=""#"">5/10</a>","Black, White","","","","","","","","","","","Corning Gorilla Glass 2","","","","","","","BLU","1","1","30","1080","144","8.9","73","145","5.11","5","32","720","1280","294","13","5.0","65.6"
"Life One M","HSPA 42.2/11.5 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 1900  / 1700  - L131U","HSDPA 850 / 1900 / 2100 - L131L","Yes","GSM / HSPA","Available. Released 2014, January","Dual SIM (Micro-SIM, dual stand-by)","","2014, January","144 x 74 x 9 mm (5.67 x 2.91 x 0.35 in)","144 g (5.08 oz)","720 x 1280 pixels (~294 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~64.7% screen-to-body ratio)","Mediatek MT6589T","Android 4.2 (Jelly Bean)","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544MP2","4 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","2 MP","1080p@30fps","12 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Yes, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 750 h (2G) / Up to 675 h (3G)","Removable Li-Ion 2000 mAh battery","","<a href=""#"">3/10</a>","Blue, White","","","","","","","","","","","","","","","","","","BLU","","","30","1080","144","9","74","144","5.08","2","64","720","1280","294","12","5.0","64.7"
"Life One X","HSPA 42.2/11.5 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 1900  / 1700  - L132U","HSDPA 850 / 1900 / 2100 - L132L","Yes","GSM / HSPA","Available. Released 2014, January","Dual SIM (Micro-SIM)","","2014, January","143.5 x 71.6 x 8.6 mm (5.65 x 2.82 x 0.34 in)","133 g (4.69 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~67.1% screen-to-body ratio)","Mediatek MT6589T","Android 4.2.1 (Jelly Bean)","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544MP2","16/32 GB, 2 GB RAM","No","5 MP","1080p@30fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Yes, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 750 h (2G) / Up to 675 h (3G)","Non-removable Li-Ion 2000 mAh battery","","<a href=""#"">5/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","16","2","30","1080","143.5","8.6","71.6","133","4.69","5","","1080","1920","441","13","5.0","67.1"
"Life Play","HSPA 42.2/5.76 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 2100 - L100i","HSDPA 850 / 1900 - L100a","Class 12","GSM / HSPA","Discontinued","Dual SIM (Mini-SIM and Micro-SIM, dual stand-by)","","2013, March. Released 2013, April","137 x 68.4 x 7.9 mm (5.39 x 2.69 x 0.31 in)","125 g (4.41 oz)","720 x 1280 pixels (~312 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","4.7 inches (~65.0% screen-to-body ratio)","Mediatek MT6589","Android 4.2 (Jelly Bean)","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 780 h (2G) / Up to 700 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">4/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","","","30","1080","137","7.9","68.4","125","4.41","2","32","720","1280","312","8","4.7","65.0"
